Unique_Funder,Matched_Funder,Matched_Code
AFM-Téléthon,"French Muscular Dystrophy Association (France, Rungis) - AFM",41___FRENCH_MUSCULAR_DYSTROPHY_ASSOCIATION_(RUNGIS)
Academy of Finland,"Research Council of Finland (Finland, Helsinki)",41___ACADEMY_OF_FINLAND_(HELSINKI)
Agencia Nacional de Promoción Científica y Tecnológica,"Agencia Nacional de Promoción de la Investigación, el Desarrollo Tecnológico y la Innovación (Argentina, Buenos Aires) - ANPCyT",41___AGENCIA_NACIONAL_DE_PROMOCIÓN_CIENTÍFICA_Y_TECNOLÓGICA_(BUENOS_AIRES)
"Albert Einstein College of Medicine, Yeshiva University","Albert Einstein College of Medicine (United States, Bronx) - AECOM",41___ALBERT_EINSTEIN_COLLEGE_OF_MEDICINE_(THE_BRONX)
American Chemical Society Petroleum Research Fund,"American Chemical Society (United States, Washington D.C.) - ACS",41___AMERICAN_CHEMICAL_SOCIETY_(WASHINGTON_D.C.)
Basic and Applied Basic Research Foundation of Guangdong Province,"Beijing Advanced Sciences and Innovation Center (China, Beijing) - BASIC",41___BEIJING_ADVANCED_SCIENCES_AND_INNOVATION_CENTER_(BEIJING)
Bill and Melinda Gates Foundation,"Bill & Melinda Gates Foundation (United States, Seattle) - BMGF",41___BILL_&_MELINDA_GATES_FOUNDATION_(SEATTLE)
Blue Cross Blue Shield of Massachusetts Foundation,"Blue Cross Blue Shield of Massachusetts (United States, Boston) - BCBSMA",41___BLUE_CROSS_BLUE_SHIELD_OF_MASSACHUSETTS_(BOSTON)
Brain and Behavior Research Foundation,"Brain & Behavior Research Foundation (United States, New York)",41___BRAIN_&_BEHAVIOR_RESEARCH_FOUNDATION_(NEW_YORK)
Bundesministerium für Bildung und Forschung,"Federal Ministry of Education and Research (Germany, Bonn) - BMBF",41___FEDERAL_MINISTRY_OF_EDUCATION_AND_RESEARCH_(BONN)
"Bundesministerium für Bildung, Wissenschaft und Forschung","Federal Ministry of Education, Science and Research (Austria, Vienna) - BMBWF","41___FEDERAL_MINISTRY_OF_EDUCATION,_SCIENCE_AND_RESEARCH_(VIENNA)"
"Bundesministerium für Bildung, Wissenschaft, Forschung und Technologie","Bundesministerium für Familien und Jugend (Austria, Vienna) - BMWFJ",41___BUNDESMINISTERIUM_FÜR_FAMILIEN_UND_JUGEND_(VIENNA)
Bureau of Justice Assistance,"Bureau of Justice Statistics (United States, Washington) - BJS",41___BUREAU_OF_JUSTICE_STATISTICS_(WASHINGTON)
California Department of Fish and Game,"California Department of Fish and Wildlife (United States, Sacramento) - CDFG",41___CALIFORNIA_DEPARTMENT_OF_FISH_AND_WILDLIFE_(SACRAMENTO)
Cancéropôle Ile de France,"Cancéropôle Île-de-France (France, Paris)",41___CANCÉROPÔLE_ÎLE-DE-FRANCE_(PARIS)
Carlsbergfondet,"Carlsberg Foundation (Denmark, Copenhagen)",41___CARLSBERG_FOUNDATION_(COPENHAGEN)
"Center for AIDS Research, Johns Hopkins University","Johns Hopkins University Center for AIDS Research (United States, Baltimore) - JHU CFAR",41___JOHNS_HOPKINS_UNIVERSITY_CENTER_FOR_AIDS_RESEARCH_(BALTIMORE)
Center for Substance Abuse Prevention,"Substance Abuse Foundation (United States, Long Beach) - SAF",41___SUBSTANCE_ABUSE_FOUNDATION_(LONG_BEACH)
Center for Substance Abuse Treatment,"Substance Abuse Foundation (United States, Long Beach) - SAF",41___SUBSTANCE_ABUSE_FOUNDATION_(LONG_BEACH)
Central University Basic Research Fund of China,"Central China Normal University (China, Wuhan) - CCNU",41___CENTRAL_CHINA_NORMAL_UNIVERSITY_(WUHAN)
"China Medical University, Taiwan","China Steel (Taiwan, Kaohsiung City) - CSC",41___CHINA_STEEL_(TAIWAN)_(KAOHSIUNG_CITY)
College and Graduate School of Arts and Sciences,"Shasta Bible College and Graduate School (United States, Redding) - SBC",41___SHASTA_BIBLE_COLLEGE_AND_GRADUATE_SCHOOL_(REDDING)
Conselho Nacional de Desenvolvimento Científico e Tecnológico,"National Council for Scientific and Technological Development (Brazil, Brasília) - CNPq",41___NATIONAL_COUNCIL_FOR_SCIENTIFIC_AND_TECHNOLOGICAL_DEVELOPMENT_(BRASÍLIA)
Coordenação de Aperfeiçoamento de Pessoal de Nível Superior,"Coordenação de Aperfeicoamento de Pessoal de Nível Superior (Brazil, Brasília) - CAPES",41___COORDENAÇÃO_DE_APERFEICOAMENTO_DE_PESSOAL_DE_NÍVEL_SUPERIOR_(BRASÍLIA)
Corporation for National and Community Service,"AmeriCorps (United States, Washington) - CNCS",41___CORPORATION_FOR_NATIONAL_AND_COMMUNITY_SERVICE_(WASHINGTON_D.C.)
Council on grants of the President of the Russian Federation,"Council for Grants of the President of the Russian Federation (Russia, Moscow)",41___COUNCIL_FOR_GRANTS_OF_THE_PRESIDENT_OF_THE_RUSSIAN_FEDERATION_(MOSCOW)
"Department of Atomic Energy, Government of India","Department of Atomic Energy (India, Mumbai) - DAE",41___DEPARTMENT_OF_ATOMIC_ENERGY_(MUMBAI)
"Department of Biotechnology, Ministry of Science and Technology, India","Department of Information Technology, Biotechnology and Science and Technology (India, Bengaluru) - ITBT","41___DEPARTMENT_OF_INFORMATION_TECHNOLOGY,_BIOTECHNOLOGY_AND_SCIENCE_AND_TECHNOLOGY_(BENGALURU)"
"Department of Science and Technology, Ministry of Science and Technology, India","Ministry of Science and Technology (Vietnam, Hanoi) - MOST",41___MINISTRY_OF_SCIENCE_AND_TECHNOLOGY_(HANOI)
"Department of Science and Technology, Republic of South Africa","Academy of Science of South Africa (South Africa, Pretoria) - ASSAf",41___ACADEMY_OF_SCIENCE_OF_SOUTH_AFRICA_(PRETORIA)
Directorate for Computer and Information Science and Engineering,"Directorate for Computer & Information Science & Engineering (United States, Arlington) - NSF CISE",41___DIRECTORATE_FOR_COMPUTER_&_INFORMATION_SCIENCE_&_ENGINEERING_(ARLINGTON)
Directorate for Mathematical and Physical Sciences,"Directorate for Mathematical & Physical Sciences (United States, Arlington) - NSF MPS",41___DIRECTORATE_FOR_MATHEMATICAL_&_PHYSICAL_SCIENCES_(ARLINGTON)
"Directorate for Social, Behavioral and Economic Sciences","Directorate for Social, Behavioral & Economic Sciences (United States, Arlington) - NSF SBE","41___DIRECTORATE_FOR_SOCIAL,_BEHAVIORAL_&_ECONOMIC_SCIENCES_(ARLINGTON)"
"Division of Cancer Epidemiology and Genetics, National Cancer Institute","Division of Cancer Epidemiology and Genetics (United States, Bethesda) - DCEG",41___DIVISION_OF_CANCER_EPIDEMIOLOGY_AND_GENETICS_(BETHESDA)
"Division of Civil, Mechanical and Manufacturing Innovation","Division of Civil, Mechanical & Manufacturing Innovation (United States, Arlington) - NSF CMMI","41___DIVISION_OF_CIVIL,_MECHANICAL_&_MANUFACTURING_INNOVATION_(ARLINGTON)"
"Division of Electrical, Communications and Cyber Systems","Division of Electrical, Communications & Cyber Systems (United States, Arlington) - NSF ECCS","41___DIVISION_OF_ELECTRICAL,_COMMUNICATIONS_&_CYBER_SYSTEMS_(ARLINGTON)"
Division of Emerging Frontiers,"Emerging Frontiers Office (United States, Arlington) - NSF EF",41___EMERGING_FRONTIERS_OFFICE_(ARLINGTON)
Division of Industrial Innovation and Partnerships,"Division of Industrial Innovation & Partnerships (United States, Arlington) - NSF IIP",41___DIVISION_OF_INDUSTRIAL_INNOVATION_&_PARTNERSHIPS_(ARLINGTON)
"Division of Intramural Research, National Institute of Allergy and Infectious Diseases","National Institute of Allergy and Infectious Diseases (United States, Bethesda) - NIAID",41___NATIONAL_INSTITUTE_OF_ALLERGY_AND_INFECTIOUS_DISEASES_(BETHESDA)
"Division of Microbiology and Infectious Diseases, National Institute of Allergy and Infectious Diseases","National Institute of Allergy and Infectious Diseases (United States, Bethesda) - NIAID",41___NATIONAL_INSTITUTE_OF_ALLERGY_AND_INFECTIOUS_DISEASES_(BETHESDA)
Division of Molecular and Cellular Biosciences,"Division of Molecular & Cellular Biosciences (United States, Arlington) - NSF MCB",41___DIVISION_OF_MOLECULAR_&_CELLULAR_BIOSCIENCES_(ARLINGTON)
Dumbarton Oaks Research Library and Collection,"Oaks Hospital (United Kingdom, Colchester)",41___OAKS_HOSPITAL_(COLCHESTER)
Enhancing Learning and Research for Humanitarian Assistance,"Elrha (United Kingdom, Cardiff)",41___ELRHA_(CARDIFF)
Esther A. and Joseph Klingenstein Fund,"Esther A. & Joseph Klingenstein Fund (United States, New York)",41___ESTHER_A._&_JOSEPH_KLINGENSTEIN_FUND_(NEW_YORK)
Eusko Jaurlaritza,"Basque Government (Spain, Vitoria-Gasteiz)",41___BASQUE_GOVERNMENT_(VITORIA-GASTEIZ)
Facebook,"Meta (United Kingdom, London)",41___FACEBOOK_(UNITED_KINGDOM)_(LONDON)
Fiducie de Recherche sur la Foret des Cantons-de-l'Est,"Fiducie de Recherche sur la Forêt des Cantons-de-l’Est (Canada, Québec) - FRFCE",41___FIDUCIE_DE_RECHERCHE_SUR_LA_FORÊT_DES_CANTONS-DE-L’EST_(QUÉBEC)
"Fondo Nacional de Desarrollo Científico, Tecnológico y de Innovación Tecnológica","Fondo Nacional de Desarrollo Científico y Tecnológico (Chile, Santiago) - FONDECYT",41___FONDO_NACIONAL_DE_DESARROLLO_CIENTÍFICO_Y_TECNOLÓGICO_(SANTIAGO)
Fondo para la Investigación Científica y Tecnológica,"Instituto Tecnológico de San Luis Potosí (Mexico, San Luis Potosí City) - ITSLP",41___INSTITUTO_TECNOLÓGICO_DE_SAN_LUIS_POTOSÍ_(SAN_LUIS_POTOSÍ_CITY)
Fonds De La Recherche Scientifique - FNRS,"Institut Scientifique de Santé Publique (Belgium, Brussels) - WIV-ISP",41___INSTITUT_SCIENTIFIQUE_DE_SANTÉ_PUBLIQUE_(BRUSSELS)
Fonds National de la Recherche Luxembourg,"Fonds National de la Recherche (Luxembourg, Luxembourg) - FNR",41___FONDS_NATIONAL_DE_LA_RECHERCHE_(LUXEMBOURG)
Fonds Wetenschappelijk Onderzoek,"Dienst voor Wetenschappelijke en Technische Informatie (Belgium, Brussels) - DWTI",41___DIENST_VOOR_WETENSCHAPPELIJKE_EN_TECHNISCHE_INFORMATIE_(BRUSSELS)
"Forskningsrådet om Hälsa, Arbetsliv och Välfärd","Swedish Research Council for Health Working Life and Welfare (Sweden, Stockholm) - FORTE",41___SWEDISH_RESEARCH_COUNCIL_FOR_HEALTH_WORKING_LIFE_AND_WELFARE_(STOCKHOLM)
Fundamental Research Funds for the Central Universities,"Hope Funds for Cancer Research (United States, Newport East)",41___HOPE_FUNDS_FOR_CANCER_RESEARCH_(NEWPORT_EAST)
Fundação para a Ciência e a Tecnologia,"Fundação para a Ciência e Tecnologia (Portugal, Lisbon) - FCT",41___FUNDAÇÃO_PARA_A_CIÊNCIA_E_TECNOLOGIA_(LISBON)
Global Challenges Research Fund,"Global Fund to Fight AIDS, Tuberculosis and Malaria (Switzerland, Le Grand-Saconnex) - GFATM","41___GLOBAL_FUND_TO_FIGHT_AIDS,_TUBERCULOSIS_AND_MALARIA_(LE_GRAND-SACONNEX)"
Grantová Agentura České Republiky,"Agentura Pro Zdravotnický Výzkum České Republiky (Czechia, Prague) - AZV ČR",41___AGENTURA_PRO_ZDRAVOTNICKÝ_VÝZKUM_ČESKÉ_REPUBLIKY_(PRAGUE)
Guangxi Key Laboratory of Automatic Detection Technology and Instrument Foundation,"State Key Laboratory of Automatic Target Recognition (China, Changsha)",41___STATE_KEY_LABORATORY_OF_AUTOMATIC_TARGET_RECOGNITION_(CHANGSHA)
H2020 European Research Council,"European Research Council (Belgium, Brussels) - ERC",41___EUROPEAN_RESEARCH_COUNCIL_(BRUSSELS)
H2020 Marie Skłodowska-Curie Actions,"Wyższa Szkoła Nauk Społecznych z Siedzibą w Lublinie (Poland, Lublin)",41___WYŻSZA_SZKOŁA_NAUK_SPOŁECZNYCH_Z_SIEDZIBĄ_W_LUBLINIE_(LUBLIN)
HORIZON EUROPE European Research Council,"European Research Council (Belgium, Brussels) - ERC",41___EUROPEAN_RESEARCH_COUNCIL_(BRUSSELS)
HORIZON EUROPE Marie Sklodowska-Curie Actions,"Marie Curie (United Kingdom, London)",41___MARIE_CURIE_(LONDON)
Harbin Medical University Cancer Hospital,"Third Affiliated Hospital of Harbin Medical University (China, Harbin)",41___THIRD_AFFILIATED_HOSPITAL_OF_HARBIN_MEDICAL_UNIVERSITY_(HARBIN)
Harvard Catalyst,"Catalyst (United Kingdom, Belfast)",41___CATALYST_(BELFAST)
Health Services Research and Development,"Health Services Research & Development (United States, Washington) - HSR&D",41___HEALTH_SERVICES_RESEARCH_&_DEVELOPMENT_(WASHINGTON_D.C.)
Heller School for Social Policy and Management,"Center for Law and Social Policy (United States, Washington D.C.) - CLASP",41___CENTER_FOR_LAW_AND_SOCIAL_POLICY_(WASHINGTON_D.C.)
Horizon 2020,"Bioenergy 2020+ (Austria, Graz)",41___BIOENERGY_2020+_(AUSTRIA)_(GRAZ)
Horizon 2020 Framework Programme,"Framework (United Kingdom, Nottingham)",41___FRAMEWORK_(NOTTINGHAM)
Innovative Research Group Project of the National Natural Science Foundation of China,"National Natural Science Foundation of China (China, Beijing) - NSFC",41___NATIONAL_NATURAL_SCIENCE_FOUNDATION_OF_CHINA_(BEIJING)
Institut National Du Cancer,"French National Cancer Institute (France, Boulogne-Billancourt) - INCA",41___FRENCH_NATIONAL_CANCER_INSTITUTE_(BOULOGNE-BILLANCOURT)
Institut sur la Nutrition et les Aliments Fonctionnels,"Ministère des Forêts, de la Faune et des Parcs (Canada, Québec)","41___MINISTÈRE_DES_FORÊTS,_DE_LA_FAUNE_ET_DES_PARCS_(QUÉBEC)"
Instituto Nacional de Ciência e Tecnologia do Café,"Instituto Nacional de Ciência e Tecnologia de Ciência Animal (Brazil, Viçosa) - INCT-CA",41___INSTITUTO_NACIONAL_DE_CIÊNCIA_E_TECNOLOGIA_DE_CIÊNCIA_ANIMAL_(VIÇOSA)
Instituto Nazionale di Fisica Nucleare,"Istituto Nazionale di Fisica Nucleare (Italy, Rome) - INFN",41___NATIONAL_INSTITUTE_FOR_NUCLEAR_PHYSICS_(ROME)
Integrative and Collaborative Education and Research,"Integrative Graduate Education and Research Traineeship (United States, Arlington) - NSF IGERT",41___INTEGRATIVE_GRADUATE_EDUCATION_AND_RESEARCH_TRAINEESHIP_(ARLINGTON)
Iowa Science Foundation,"Science Center of Iowa (United States, Des Moines) - SCI",41___SCIENCE_CENTER_OF_IOWA_(DES_MOINES)
Istituto Nazionale di Fisica Nucleare Sezione di Padova,"INFN Sezione di Padova (Italy, Padua)",41___INFN_SEZIONE_DI_PADOVA_(PADUA)
Javna Agencija za Raziskovalno Dejavnost RS,"Agencija za Radioaktivne Odpadke (Slovenia, Ljubljana) - ARAO",41___AGENCIJA_ZA_RADIOAKTIVNE_ODPADKE_(LJUBLJANA)
Knut och Alice Wallenbergs Stiftelse,"Knut and Alice Wallenberg Foundation (Sweden, Stockholm)",41___KNUT_AND_ALICE_WALLENBERG_FOUNDATION_(STOCKHOLM)
Laboratory Directed Research and Development,"Defence Research and Development Laboratory (India, Hyderabad) - DRDL",41___DEFENCE_RESEARCH_AND_DEVELOPMENT_LABORATORY_(HYDERABAD)
Lundbeckfonden,"Lundbeck Foundation (Denmark, Copenhagen)",41___LUNDBECK_FOUNDATION_(COPENHAGEN)
Magyar Tudományos Akadémia,"Hungarian Academy of Sciences (Hungary, Budapest) - MTA",41___HUNGARIAN_ACADEMY_OF_SCIENCES_(BUDAPEST)
"Materials Research Institute, Pennsylvania State University","Pennsylvania State University (United States, State College) - PSU",41___PENNSYLVANIA_STATE_UNIVERSITY_(STATE_COLLEGE)
"Materials Research Science and Engineering Center, Harvard University","Materials Research Science and Engineering Centers (United States, Arlington) - MRSEC",41___MATERIALS_RESEARCH_SCIENCE_AND_ENGINEERING_CENTERS_(ARLINGTON)
Maternal and Child Health Bureau,"Yunnan Maternal and Child Health (China, Kunming)",41___YUNNAN_MATERNAL_AND_CHILD_HEALTH_(KUNMING)
Max-Planck-Gesellschaft,"Halbleiterlabor of the Max-Planck-Society (Germany, Munich) - MPG HLL",41___HALBLEITERLABOR_OF_THE_MAX-PLANCK-SOCIETY_(MUNICH)
Michael J. Fox Foundation for Parkinson's Research,"Michael J. Fox Foundation (United States, New York) - MJFF",41___MICHAEL_J._FOX_FOUNDATION_(NEW_YORK)
"Ministerio de Asuntos Económicos y Transformación Digital, Gobierno de España","Ministerio para la Transformación Digital y de la Función Pública (Spain, Madrid) - MTDFP",41___MINISTERIO_PARA_LA_TRANSFORMACIÓN_DIGITAL_Y_DE_LA_FUNCIÓN_PÚBLICA_(MADRID)
Ministerio de Ciencia e Innovación,"Ministerio de Ciencia, Innovación y Universidades (Spain, Madrid) - MICINN",41___MINISTERIO_DE_CIENCIA_E_INNOVACIÓN_(MADRID)
Ministerio de Economía y Competitividad,"Ministerio de Trabajo y Economía Social (Spain, Madrid) - MITES",41___MINISTRY_OF_EMPLOYMENT_AND_SOCIAL_SECURITY_(MADRID)
"Ministerio de Economía, Fomento y Turismo, Chile","Ministerio de Agricultura (Chile, Santiago)",41___MINISTERIO_DE_AGRICULTURA_(SANTIAGO)
"Ministerium für Innovation, Wissenschaft und Forschung des Landes Nordrhein-Westfalen","Ministerium für Kultur und Wissenschaft des Landes Nordrhein-Westfalen (Germany, Düsseldorf) - MKW NRW","41___MINISTERIUM_FÜR_INNOVATION,_WISSENSCHAFT_UND_FORSCHUNG_D._LANDES_NORDRHEIN-WESTFALEN_(DÜSSELDORF)"
